ticker,quarter,call_datetime,is_after_hours,day_0_date,lm_positive,lm_negative,lm_uncertainty,lm_net_sentiment,finbert_positive,finbert_negative,finbert_net_sentiment,qa_lm_positive,qa_lm_negative,qa_lm_net_sentiment,qa_lm_uncertainty,eps_surprise_pct,eps_beat,return_1d,return_5d,implied_move,realized_move,lm_net_sentiment_qoq,lm_uncertainty_qoq,finbert_net_sentiment_qoq,qa_lm_net_sentiment_qoq,qa_lm_uncertainty_qoq,label,signal,pnl,baseline_pnl
PFE,2024-Q1,2024-01-30 06:00:00,False,2024-01-29,0.0167200780270307,0.0310714783335655,0.029538804514421,-0.0143514003065347,0.1929391324520111,0.1587378978729248,0.0342012345790863,0.0167200780270307,0.0310714783335655,-0.0143514003065347,0.029538804514421,1.547,1,-0.0167395099189845,-0.0331149420240498,0.0189547565296758,0.0167395099189845,0.0014783648420314,-0.0004339475291757,-0.0053330361843109,0.0014783648420314,-0.0004339475291756,1,1,-0.02,-0.02
PFE,2024-Q2,2024-05-01 06:00:00,False,2024-04-30,0.0169685414680648,0.0263107721639656,0.0301239275500476,-0.0093422306959008,0.2161453515291214,0.1280294507741928,0.0881159007549285,0.0169685414680648,0.0263107721639656,-0.0093422306959008,0.0301239275500476,0.6011,1,0.0608897204826639,0.0839186735230724,0.0143393115693215,0.0608897204826639,0.0050091696106339,0.0005851230356265,0.0539146661758422,0.0050091696106339,0.0005851230356265,1,1,0.026550408913342403,0.026550408913342403
PFE,2024-Q3,2024-07-30 08:00:00,False,2024-07-29,0.0163217230355039,0.0265858993774188,0.0309607942116776,-0.0102641763419148,0.2085734754800796,0.1102165877819061,0.0983568876981735,0.0163217230355039,0.0265858993774188,-0.0102641763419148,0.0309607942116776,0.3019,1,0.0218099028826261,-0.0319010571079747,0.0168112346023298,0.0218099028826261,-0.0009219456460139,0.0008368666616299,0.0102409869432449,-0.0009219456460139,0.0008368666616299,1,1,-0.015001331719703699,-0.015001331719703699
PFE,2024-Q4,2024-10-29 06:00:00,False,2024-10-28,0.0143851508120649,0.0326372776488785,0.0269141531322505,-0.0182521268368136,0.204521432518959,0.139178842306137,0.0653425902128219,0.0143851508120649,0.0326372776488785,-0.0182521268368136,0.0269141531322505,0.7328,1,-0.0138601502258423,-0.0381151021141737,0.0149469693181691,0.0138601502258423,-0.0079879504948988,-0.0040466410794271,-0.0330142974853515,-0.0079879504948987,-0.004046641079427,0,0,0.0,-0.02
PFE,2025-Q1,2025-02-04 06:00:00,False,2025-02-03,0.0162077104642014,0.0303697875688434,0.0248623131392604,-0.014162077104642,0.1920902132987976,0.1500651985406875,0.04202501475811,0.0162077104642014,0.0303697875688434,-0.014162077104642,0.0248623131392604,0.372,1,-0.0125954692010805,-0.0125954692010805,0.0154482079171754,0.0125954692010805,0.0040900497321716,-0.00205183999299,-0.0233175754547119,0.0040900497321715,-0.0020518399929901,0,0,0.0,-0.02
PFE,2025-Q2,2025-04-29 06:00:00,False,2025-04-28,0.0172773875071198,0.0269603189671539,0.0328460224036453,-0.0096829314600341,0.1951046139001846,0.1336567252874374,0.0614478886127471,0.0172773875071198,0.0269603189671539,-0.0096829314600341,0.0328460224036453,0.3649,1,0.0321040979483099,0.0355747632644845,0.0240979869146044,0.0321040979483099,0.0044791456446079,0.0079837092643849,0.0194228738546371,0.0044791456446078,0.0079837092643849,1,1,-0.0119938889662945,-0.0119938889662945
PFE,2025-Q3,2025-08-05 06:00:00,False,2025-08-04,0.0179340028694404,0.0269010043041606,0.0315638450502152,-0.0089670014347202,0.2314805537462234,0.124961994588375,0.1065185591578483,0.0179340028694404,0.0269010043041606,-0.0089670014347202,0.0315638450502152,0.3594,1,0.0518487331527345,0.0446238876821014,0.0173337111940821,0.0518487331527345,0.0007159300253139,-0.0012821773534301,0.0450706705451012,0.0007159300253139,-0.0012821773534301,1,1,0.0145150219586524,0.0145150219586524
PFE,2025-Q4,2025-11-04 07:00:00,False,2025-11-03,0.0154199475065616,0.0272309711286089,0.03001968503937,-0.0118110236220472,0.2183594405651092,0.1648372709751129,0.0535221695899963,0.0154199475065616,0.0272309711286089,-0.0118110236220472,0.03001968503937,0.3743,1,-0.0145986248452792,0.0064667595451085,0.0265220649148506,0.0145986248452792,-0.002844022187327,-0.0015441600108451,-0.052996389567852,-0.002844022187327,-0.0015441600108451,0,0,0.0,-0.02
PFE,2026-Q1,2026-02-03 06:00:00,False,2026-02-02,0.0158128809092406,0.032119914346895,0.0286608466479986,-0.0163070334376544,0.1919427216053009,0.1610459089279174,0.0308968126773834,0.0158128809092406,0.032119914346895,-0.0163070334376544,0.0286608466479986,0.1618,1,-0.0333833231336207,0.0146286343541106,0.0124208335146227,0.0333833231336207,-0.0044960098156072,-0.0013588383913714,-0.0226253569126129,-0.0044960098156071,-0.0013588383913713,1,1,0.0009624896189979991,0.0009624896189979991
TSLA,2023-Q1,2023-01-25 16:00:00,True,2023-01-25,0.0035335689045936,0.0098939929328621,0.0162544169611307,-0.0063604240282685,0.0842428281903266,0.0629819110035896,0.021260917186737,0.0035335689045936,0.0098939929328621,-0.0063604240282685,0.0162544169611307,0.072,1,0.1096725915664733,0.2560410777652078,0.0663138855152899,0.1096725915664733,0.0,0.0,0.0,0.0,0.0,1,1,0.0233587060511834,0.0233587060511834
