ticker,quarter,call_datetime,is_after_hours,day_0_date,lm_positive,lm_negative,lm_uncertainty,lm_net_sentiment,finbert_positive,finbert_negative,finbert_net_sentiment,qa_lm_positive,qa_lm_negative,qa_lm_net_sentiment,qa_lm_uncertainty,eps_surprise_pct,eps_beat,return_1d,return_5d,implied_move,realized_move,lm_net_sentiment_qoq,lm_uncertainty_qoq,finbert_net_sentiment_qoq,qa_lm_net_sentiment_qoq,qa_lm_uncertainty_qoq,label
NVDA,2026-Q1,2026-02-25 16:00:00,True,2026-02-25,0.012909632571996,0.003475670307845,0.0094339622641509,0.0094339622641509,0.4449804723262787,0.0783807411789894,0.3665997311472893,0.012909632571996028,0.003475670307845084,0.009433962264150943,0.009433962264150943,0.0532,1,-0.054561240794954634,-0.06402125047383944,0.029057717685138897,0.054561240794954634,-0.0007875028125100009,-0.0007875028125100009,-0.0711841955780983,-0.000787502812510046,-0.0007875028125100443,0
PFE,2023-Q1,2023-01-31 06:00:00,False,2023-01-30,0.015841086245914,0.0207442796077445,0.0286648227307015,-0.0049031933618305,0.2318765968084335,0.1318158656358719,0.1000607311725616,0.015841086245914005,0.020744279607744533,-0.0049031933618305275,0.028664822730701534,0.094,1,0.014006795805446134,0.00482191874007178,0.019594169156063674,0.014006795805446134,0.0,0.0,0.0,0.0,0.0,0
PFE,2023-Q2,2023-05-02 06:00:00,False,2023-05-01,0.0160878063449105,0.0263118328070966,0.034430912644715,-0.0102240264621861,0.2136821001768112,0.1503563970327377,0.0633257031440734,0.01608780634491054,0.026311832807096678,-0.010224026462186137,0.03443091264471508,0.2468,1,-0.0038255386477344675,-0.01377228892202827,0.012075451447918236,0.0038255386477344675,-0.005320833100355601,0.005766089914013499,-0.0367350280284882,-0.00532083310035561,0.005766089914013547,0
PFE,2023-Q3,2023-08-01 06:00:00,False,2023-07-31,0.0169512966476913,0.0240354206198608,0.0302340290955091,-0.0070841239721695,0.2348571866750717,0.1261277794837951,0.1087294071912765,0.016951296647691336,0.02403542061986085,-0.007084123972169513,0.030234029095509173,0.1528,1,-0.012479203446653797,-0.010537623271424598,0.014777506660841499,0.012479203446653797,0.003139902490016601,-0.004196883549205898,0.04540370404720309,0.0031399024900166245,-0.004196883549205908,0
PFE,2023-Q4,2023-10-31 06:00:00,False,2023-10-30,0.0164785260153107,0.032308291163877,0.0299727520435967,-0.0158297651485662,0.2108592689037323,0.171324998140335,0.0395342707633972,0.016478526015310756,0.032308291163877,-0.015829765148566242,0.02997275204359673,0.4996,1,0.000327311082719449,0.02062176953258718,0.022200497420298854,0.000327311082719449,-0.008745641176396701,-0.0002612770519123987,-0.06919513642787929,-0.008745641176396729,-0.0002612770519124438,0
PFE,2024-Q1,2024-01-30 06:00:00,False,2024-01-29,0.0167200780270307,0.0310714783335655,0.029538804514421,-0.0143514003065347,0.1929391324520111,0.1587378978729248,0.0342012345790863,0.016720078027030794,0.031071478333565557,-0.014351400306534763,0.029538804514421067,1.547,1,-0.016739509918984524,-0.03311494202404984,0.018954756529675872,0.016739509918984524,0.0014783648420314995,-0.0004339475291757003,-0.005333036184310906,0.0014783648420314786,-0.0004339475291756621,1
PFE,2024-Q2,2024-05-01 06:00:00,False,2024-04-30,0.0169685414680648,0.0263107721639656,0.0301239275500476,-0.0093422306959008,0.2161453515291214,0.1280294507741928,0.0881159007549285,0.016968541468064823,0.02631077216396568,-0.009342230695900858,0.030123927550047665,0.6011,1,0.06088972048266397,0.08391867352307249,0.014339311569321531,0.06088972048266397,0.0050091696106339,0.0005851230356265988,0.05391466617584221,0.005009169610633905,0.0005851230356265988,1
PFE,2024-Q3,2024-07-30 08:00:00,False,2024-07-29,0.0163217230355039,0.0265858993774188,0.0309607942116776,-0.0102641763419148,0.2085734754800796,0.1102165877819061,0.0983568876981735,0.016321723035503954,0.02658589937741881,-0.010264176341914857,0.030960794211677602,0.3019,1,0.02180990288262614,-0.03190105710797472,0.016811234602329854,0.02180990288262614,-0.0009219456460139996,0.0008368666616299994,0.01024098694324499,-0.0009219456460139996,0.000836866661629937,1
PFE,2024-Q4,2024-10-29 06:00:00,False,2024-10-28,0.0143851508120649,0.0326372776488785,0.0269141531322505,-0.0182521268368136,0.204521432518959,0.139178842306137,0.0653425902128219,0.014385150812064965,0.032637277648878575,-0.018252126836813612,0.02691415313225058,0.7328,1,-0.013860150225842364,-0.03811510211417376,0.014946969318169162,0.013860150225842364,-0.007987950494898801,-0.0040466410794271004,-0.03301429748535159,-0.007987950494898755,-0.004046641079427021,0
PFE,2025-Q1,2025-02-04 06:00:00,False,2025-02-03,0.0162077104642014,0.0303697875688434,0.0248623131392604,-0.014162077104642,0.1920902132987976,0.1500651985406875,0.04202501475811,0.016207710464201417,0.03036978756884343,-0.014162077104642012,0.024862313139260427,0.372,1,-0.012595469201080555,-0.012595469201080555,0.015448207917175459,0.012595469201080555,0.004090049732171601,-0.0020518399929900996,-0.023317575454711907,0.0040900497321715995,-0.002051839992990155,0
PFE,2025-Q2,2025-04-29 06:00:00,False,2025-04-28,0.0172773875071198,0.0269603189671539,0.0328460224036453,-0.0096829314600341,0.1951046139001846,0.1336567252874374,0.0614478886127471,0.017277387507119803,0.02696031896715398,-0.009682931460034176,0.03284602240364534,0.3649,1,0.03210409794830995,0.035574763264484506,0.02409798691460449,0.03210409794830995,0.0044791456446079,0.007983709264384901,0.019422873854637104,0.004479145644607836,0.007983709264384915,1
PFE,2025-Q3,2025-08-05 06:00:00,False,2025-08-04,0.0179340028694404,0.0269010043041606,0.0315638450502152,-0.0089670014347202,0.2314805537462234,0.124961994588375,0.1065185591578483,0.017934002869440458,0.02690100430416069,-0.00896700143472023,0.03156384505021521,0.3594,1,0.05184873315273456,0.04462388768210143,0.01733371119408216,0.05184873315273456,0.0007159300253139003,-0.0012821773534301,0.0450706705451012,0.0007159300253139454,-0.0012821773534301348,1
PFE,2025-Q4,2025-11-04 07:00:00,False,2025-11-03,0.0154199475065616,0.0272309711286089,0.03001968503937,-0.0118110236220472,0.2183594405651092,0.1648372709751129,0.0535221695899963,0.01541994750656168,0.027230971128608925,-0.011811023622047246,0.030019685039370077,0.3743,1,-0.014598624845279289,0.006466759545108505,0.02652206491485066,0.014598624845279289,-0.002844022187327001,-0.001544160010845199,-0.052996389567852,-0.002844022187327015,-0.0015441600108451296,0
PFE,2026-Q1,2026-02-03 06:00:00,False,2026-02-02,0.0158128809092406,0.032119914346895,0.0286608466479986,-0.0163070334376544,0.1919427216053009,0.1610459089279174,0.0308968126773834,0.015812880909240653,0.032119914346895075,-0.01630703343765442,0.028660846647998683,0.1618,1,-0.03338332313362072,0.01462863435411065,0.012420833514622798,0.03338332313362072,-0.0044960098156072,-0.0013588383913714017,-0.022625356912612905,-0.004496009815607176,-0.0013588383913713947,1
TSLA,2023-Q1,2023-01-25 16:00:00,True,2023-01-25,0.0035335689045936,0.0098939929328621,0.0162544169611307,-0.0063604240282685,0.0842428281903266,0.0629819110035896,0.021260917186737,0.0035335689045936395,0.009893992932862191,-0.0063604240282685515,0.01625441696113074,0.072,1,0.1096725915664733,0.2560410777652078,0.06631388551528991,0.1096725915664733,0.0,0.0,0.0,0.0,0.0,1
